Words,Frequency
regard,1
"friction,",1
freshwater,1
generic,1
particularly,1
Sothern,1
continuity,1
interventions,1
several,2
modelling,2
design,1
"bathymetry,",1
edge,1
vary,1
penetration,3
subsequent,1
"activities,",1
Ghats.,2
scattered,1
timescales,1
volume,1
"topographic,",1
finite,1
'AbstractThe,1
control,1
found,2
river,8
consideration,1
"However,",1
population,1
explicit,1
stations,1
"Assam,",1
establishes,1
Different,1
conservation,4
https://www.sciencedirect.com/science/article/pii/S2287884X18300542,1
channels.,1
"avian,",1
baroclinic,2
Valley.,1
range,2
Kondapalli,1
water,5
yet,1
endangered,2
island,1
spaces,1
city,2
definition.,1
ocean,1
"mammalian,",1
widely,1
(FVCOM),1
quality,1
cycle.FVCOM,1
environmentalists.,1
focus,2
"species,",1
functions,1
urban,3
biodiversity,1
observed,1
Article/ResearchEcological,1
achieve,1
"channels.""",1
delta,5
new,1
250\xc2\xa0km,1
flora,1
making,1
hillocks,1
Papikondalu,1
average.,1
'Srikonda',1
rich,1
corridor,2
problem,1
limit,1
architectural,1
estuarine,1
protection,1
investigate,1
channel,1
patch,1
macro,2
complex,1
If,1
open,2
education,1
connectivity,2
daily,1
approach',1
globally,1
means,1
while,1
because,1
direct,1
connects,1
awareness,1
ecologists,1
challenge,2
narrow,1
improvements,1
resources,1
intricate,1
controls,2
eco,1
planning,1
hill,1
able,1
ability,1
3D,1
increasing,1
demand,1
gauge,1
https://www.sciencedirect.com/science/article/pii/S0272771416303791,1
mammals,1
significantly,1
responses,1
coast,2
sensitivity,1
assess,1
deep,1
bottom,2
break,1
tide,2
FVCOM,1
Once,1
Bengal,1
ecological,7
many,1
Eastern,4
discussed,1
features.,1
"inland,",1
Planet,1
"Valley,",1
endemic,1
integrity,3
tidal,9
intrusion,1
bathymetry,2
"geometry,",1
Tidal,1
rural,1
settlement.,1
hydrodynamic,2
guide,1
indicated,1
effect,1
Ghats,1
scientific,1
status,1
context,1
'Lucy,1
will,1
climatic,1
essential,1
time.,1
varieties,1
especially,1
hills,1
10\xc2\xa0cm,1
"Inland,",1
leading,1
Ganges-Brahmaputra-Meghna,1
Valley,1
competition.The,1
analysis,1
ecosystem,2
Northeast,2
ancient,1
green,1
must,1
sites,1
activities,1
improve,1
developing,1
Earth.,1
influential,1
M.',1
India,2
Krishna-Guntur,1
discharge.,1
twice,1
distribution,1
research,1
India',1
examines,1
integrity.',1
support,1
applied,1
ease,1
level;,1
level,4
serious,1
https://www.sciencedirect.com/science/article/pii/S2212609015000102,1
"Unfortunately,",1
vanish,1
levels,3
derived,2
demands,1
region,5
results,1
first,1
valley.,1
combination,1
capture,3
crucial,1
evaluated,1
organized,1
data-poor,2
organize,1
article,1
Barak,3
annual,1
northern,2
strengthen,1
area.,2
jeopardy,1
exists,1
Scattered,1
four,1
mega,1
"initiated,",1
changes,1
simulate,1
establish,1
models,1
"strong,",1
before,1
intervention,1
accurate,1
distinguishing,1
validated,2
sustained,1
performance,1
An,1
provides,1
salinity,1
dynamics,1
eco-patches,1
seasonal,1
no,1
heat,1
small,1
model's,1
enhance,1
corridors,1
hydrodynamics,2
unstructured,1
thirteen,1
validating,1
system,2
So,1
ArticleConservation,1
region.,1
root-mean-squared,1
processes,1
'Original,1
shelf,1
flow,1
seen,1
consensus,1
covering,1
community,1
Nallamala,1
"delta,",1
number,1
model,7
GBM,2
lung,1
affected,1
problems,1
observations,1
These,1
development,1
"""AbstractThe",1
beyond,1
remaining,1
(GBM),1
anthropogenic,1
flow.,1
so,1
Vijayawada,4
Ghats',1
approach,1
inclusion,1
tactics.',1
highlights,1
configured,1
change,1
action,1
delta:,1
\xe2\x80\x93,2
what,1
micro,2
discuss,1
pressure.,1
configuration,1
fauna,1
side,2
protection.,1
provide,1
herpetofauna,1
well,1
damage,1
reduced,1
Human,1
part,3
whole,1
"stations,",1
"landscape,",1
natural,1
emphasize,1
order,2
same,1
environmental,4
brings,1
create,1
paper,2
errors,1
tides,1
simulated,1
life,1
damages.,1
'Nazimur,1
'Review,1
developmental,1
future,1
recommended,1
Rahman',1
unique,1
"processes,",1
'Tidal,1
grid,1
important,1
favourably,1
penetration.This,1
discharge,1
time,1
coastal,1
When,1
'AbstractFrom,1
concept,1
compares,1
Bay,1
constituents,1
implementing,1
controlled,1
large,2
fulfill,1
"roughness,",1
elaborate,1
diverse,2
irrecoverable,1
understanding,1
"time,",1
system.,3
considerations,1
