Words,Frequency
conservation,4
Kondapalli,1
region.,1
distribution,1
constituents,1
large,2
bathymetry,2
affected,1
Barak,3
"initiated,",1
Papikondalu,1
urban,3
These,1
results,1
organized,1
applied,1
250\xc2\xa0km,1
ocean,1
Different,1
narrow,1
stations,1
Article/ResearchEcological,1
"delta,",1
simulate,1
exists,1
reduced,1
particularly,1
area.,2
strengthen,1
continuity,1
"species,",1
guide,1
ArticleConservation,1
"mammalian,",1
3D,1
article,1
"landscape,",1
hills,1
configured,1
observations,1
implementing,1
river,8
If,1
daily,1
understanding,1
inclusion,1
important,1
favourably,1
Sothern,1
part,3
grid,1
processes,1
changes,1
investigate,1
vary,1
hill,1
first,1
new,1
assess,1
coast,2
Valley,1
challenge,2
activities,1
ecological,7
quality,1
https://www.sciencedirect.com/science/article/pii/S2212609015000102,1
while,1
'Lucy,1
"Inland,",1
whole,1
deep,1
tactics.',1
'Tidal,1
GBM,2
Rahman',1
because,1
complex,1
Bay,1
regard,1
create,1
small,1
concept,1
10\xc2\xa0cm,1
protection.,1
water,5
fauna,1
examines,1
Human,1
seasonal,1
An,1
delta:,1
hydrodynamics,2
eco,1
making,1
demand,1
ease,1
M.',1
"""AbstractThe",1
Nallamala,1
average.,1
provides,1
remaining,1
time,1
green,1
observed,1
(FVCOM),1
must,1
sites,1
"channels.""",1
baroclinic,2
irrecoverable,1
indicated,1
diverse,2
salinity,1
vanish,1
Bengal,1
macro,2
derived,2
Scattered,1
education,1
micro,2
So,1
approach,1
estuarine,1
action,1
"inland,",1
establish,1
focus,2
rural,1
levels,3
widely,1
brings,1
simulated,1
consideration,1
channel,1
rich,1
configuration,1
system.,3
island,1
improve,1
performance,1
means,1
intervention,1
community,1
status,1
'Review,1
time.,1
paper,2
ability,1
covering,1
"topographic,",1
integrity,3
India,2
found,2
what,1
context,1
integrity.',1
scientific,1
level,4
intricate,1
"activities,",1
system,2
region,5
mega,1
flow.,1
leading,1
penetration.This,1
When,1
corridors,1
biodiversity,1
recommended,1
problems,1
design,1
controlled,1
well,1
edge,1
validating,1
compares,1
"bathymetry,",1
architectural,1
demands,1
range,2
patch,1
"friction,",1
no,1
Planet,1
hydrodynamic,2
spaces,1
"Assam,",1
functions,1
tide,2
"Valley,",1
number,1
Tidal,1
elaborate,1
Earth.,1
developing,1
awareness,1
freshwater,1
model,7
errors,1
resources,1
enhance,1
validated,2
approach',1
will,1
emphasize,1
globally,1
(GBM),1
environmental,4
'Original,1
future,1
"processes,",1
tides,1
beyond,1
discuss,1
analysis,1
thirteen,1
eco-patches,1
"Unfortunately,",1
India',1
developmental,1
root-mean-squared,1
'Nazimur,1
achieve,1
models,1
annual,1
essential,1
intrusion,1
several,2
sustained,1
connectivity,2
explicit,1
coastal,1
natural,1
Ghats',1
https://www.sciencedirect.com/science/article/pii/S0272771416303791,1
seen,1
"strong,",1
'Srikonda',1
level;,1
ecologists,1
generic,1
https://www.sciencedirect.com/science/article/pii/S2287884X18300542,1
climatic,1
capture,3
research,1
twice,1
Ghats.,2
limit,1
life,1
influential,1
damages.,1
Ghats,1
dynamics,1
order,2
distinguishing,1
problem,1
significantly,1
ancient,1
volume,1
discussed,1
open,2
Krishna-Guntur,1
Northeast,2
crucial,1
interventions,1
protection,1
varieties,1
endangered,2
support,1
model's,1
heat,1
tidal,9
northern,2
ecosystem,2
so,1
discharge,1
control,1
improvements,1
organize,1
modelling,2
'AbstractThe,1
lung,1
population,1
especially,1
corridor,2
scattered,1
evaluated,1
delta,5
flow,1
pressure.,1
features.,1
development,1
responses,1
same,1
data-poor,2
herpetofauna,1
endemic,1
Ganges-Brahmaputra-Meghna,1
jeopardy,1
settlement.,1
change,1
Vijayawada,4
serious,1
city,2
shelf,1
many,1
"time,",1
competition.The,1
cycle.FVCOM,1
provide,1
gauge,1
four,1
"However,",1
break,1
planning,1
consensus,1
damage,1
"avian,",1
connects,1
fulfill,1
definition.,1
effect,1
unstructured,1
yet,1
mammals,1
timescales,1
"roughness,",1
subsequent,1
FVCOM,1
direct,1
Once,1
unique,1
environmentalists.,1
Eastern,4
considerations,1
valley.,1
side,2
hillocks,1
bottom,2
increasing,1
\xe2\x80\x93,2
before,1
establishes,1
sensitivity,1
highlights,1
Valley.,1
discharge.,1
"stations,",1
combination,1
channels.,1
accurate,1
'AbstractFrom,1
flora,1
penetration,3
anthropogenic,1
finite,1
controls,2
able,1
"geometry,",1
