Words,Frequency
weedy,1
duration,3
aufgegebene,1
IBH,1
areas.,12
Algorithm,5
https://www.sciencedirect.com/science/article/pii/S0303243415000574,1
"warming,",1
scope,2
theories,1
Eigenschaften,2
trees,18
'AbstractSustainable,1
Daily,1
cities,14
Over,7
characterization.,1
Fuel\xe2\x80\x93wood,1
years,13
marginalised,1
enforced,1
BTR,2
"solenopsis,",1
Rangan,2
indicators,7
Islands,2
survival.,2
"grow,",1
environnement\xe2\x98\x86',1
declining,2
ses,1
structures,5
Ecology,4
"activities,",1
sample,8
biomes,3
"stabilit\xc3\xa9,",1
"India,",29
rather,6
affect\xc3\xa9es,1
PAs,6
13,3
(iv),2
neutral,1
28,1
dynamics.\xe2\x80\xa2FOS,1
contribute,11
"Meanwhile,",1
Ecuador',1
individual,9
"variation,",1
"result,",1
present-day,1
'Nethravathi,1
journal,1
99.8\xc2\xb14.8\xc2\xa0MgC\xc2\xa0ha\xe2\x88\x921.,1
Bambusa,2
encroachments.\xe2\x80\xa2In,1
sites.,6
period.',1
"unpredictable,",1
RegionalAvian,1
back,1
Hinweise,1
rotation.,1
level.,5
"pp.,",1
Grenville,1
(CMIP5).,1
transmitted,1
Kudremukh,2
L'influence,1
distinctiveness,1
hotspot.,1
private),1
elevated,1
(Shannon's,1
machines,1
(areas,1
Harangi,2
'AbstractScholars,1
Anthropogenically,1
Wilkes\xe2\x80\x93Albany\xe2\x80\x93Fraser,1
apprised,1
'Prakash',1
management.,8
63%,1
students,1
'James,1
following,8
RegionalWetland,1
transdisciplinary,5
betel,5
"fishing,",1
primates',1
district.,2
https://www.sciencedirect.com/science/article/pii/S0167564803800618,1
Pavilion,1
greenhouse,1
relatively,6
https://www.sciencedirect.com/science/article/pii/S0378112797805671,1
people,25
image.,1
basins.,3
education,2
improved,11
Linking,1
financial,5
historic,1
approach.,2
loaded,1
"framework,",4
North-East,2
forest-dependent,1
https://www.sciencedirect.com/science/article/pii/B9780123847195003737,1
Exploratory,1
concepts,4
tourism,16
sediment,3
resource,47
interactions.,1
insignificant,1
planetary,1
Mughal,1
city.\xe2\x80\xa2In,1
favoring,1
basalt,1
hydrograph.,1
https://www.sciencedirect.com/science/article/pii/S0921344909002274,1
encourage,2
'A.K',1
material,1
palaeoenvironmental,1
Lanka.,1
"YBP,",1
"14.44%,",1
usual,1
Implementation,1
PhD,1
https://www.sciencedirect.com/science/article/pii/S0006320799001512,1
watersheds.,1
"rotation,",1
measured,8
predictions,6
extinction.,1
fires,13
cited,1
years),1
multifaceted,2
Plateau,2
"goods,",1
hat.,1
"human,",1
DF).,1
residual,3
decades,6
determining,4
war,3
"teak,",1
refuge.,1
"""AbstractIn",2
RegionalLand,1
perfect,1
Dynamics,2
policy.,2
eradication,1
points.,2
wounded,1
'Environmental,1
islands,2
tourism:,1
"water,",4
disastrous,1
(IAHS;,2
