Words,Frequency
'We,397
evaluated,436
changes,1871
Atlantic,1434
Forest,618
landscape,1213
last,448
based,1330
boundaries,85
"mosaics,",6
including,977
hypothetical,19
resulting,347
application,261
Brazilian,590
laws,30
forest,3623
protection.,36
Mosaics,4
identified,635
sets,120
land-use,237
patches,254
similar,903
pattern,537
boundaries.,23
Landscapes,8
"years,",148
"therefore,",71
distinguished,86
differences,1117
mosaics.,5
We,3775
developed,681
technique,91
identify,526
maps,204
build,50
patch,175
x,32
boundary,91
matrix,175
required,190
mosaic,89
identification,219
means,227
factorial,18
cluster,108
analysis.,157
The,10623
mosaics,25
characterized,346
key,496
uses,229
land,1832
uses.,45
scored,19
conservation,2197
according,305
five,581
issues:,6
"permeability,",3
"cover,",154
"availability,",74
"quality,",82
fragmentation,354
forest.,180
patterns.,116
Although,469
regarding,196
protection,312
promoted,58
legal,55
presented,355
highest,661
habitat,2115
expansion,294
perpetuates,2
complicates,4
"management,",125
thus,334
increasing,752
pressure,186
favoring,13
protected,389
patches.,49
These,1314
conclusions,53
cannot,121
reached,99
simply,33
recording,28
uses.',9
'Efforts,6
conserve,103
tropical,838
forests,1094
strengthened,7
ecological,1460
"knowledge,",62
extinction,184
thresholds,49
processes.,117
Many,128
associated,1184
reduction,326
focused,180
"animals,",48
generally,386
scale.,129
"However,",1274
certain,175
plant,1694
groups,674
interesting,53
models,769
type,428
"relationship,",15
Myrtaceae,30
Neotropical,160
forests.,209
Because,164
trees,757
long-lived,23
"organisms,",45
local,1252
extinctions,45
response,572
loss,640
occur,347
ways,109
time,889
lag.,3
In,3285
"study,",472
objective,231
assess,602
occurrence,401
scale,472
large,1352
biome,92
tree,1110
size,794
classes.,29
studied,711
nine,186
landscapes,308
amounts,166
(between,15
5,177
cover),9
parts,224
"Bahia,",66
"Brazil,",295
each,1346
"landscape,",78
four,910
classes,176
circumference:,2
saplings,37
(CBH,6
8,87
young,161
15,198
adults,106
total,1644
(all,11
individuals,673
CBH,2
cover,927
less,755
approximately,261
sixfold,3
richness,1092
compared,1083
greater,751
relationship,512
threshold,96
amount,303
level,832
"richness,",214
"total,",51
sapling,15
below,175
whereas,470
cover.,97
discuss,214
categories,128
plants,829
lag,25
possibilities,25
limitations,68
applying,60
results,2149
environmental,2161
management.',57
threatened,364
biodiversity,938
hotspot,50
subject,129
several,762
complementary,70
assessments,142
priority-setting,4
initiatives,57
Results,362
relied,15
distinct,402
types,698
distribution,1602
data,2309
features,278
differ,211
objectivity,3
repeatability,12
methodologies.,5
Here,169
refine,18
earlier,102
exercises,6
(KBA),2
approach.,56
evaluate,480
how,914
KBAs,5
represented,209
existing,320
"system,",123
prioritize,38
"them,",42
analyze,174
critical,351
aspects,221
KBA,4
methodology,130
"context,",63
ability,284
guide,89
specific,478
strategies.,77
Building,10
upon,208
extensive,238
database,93
"1,636",2
records,237
122,7
previously,285
Important,16
Bird,31
"Areas,",3
demonstrate,204
fragmented,221
benefited,14
resolution,118
process.,71
538,2
141,7
globally,68
vertebrate,61
species.,1271
Prioritizing,2
"KBA,",2
highlight,178
