Words,Frequency
stations,1
monitoring,4
carried,3
"IRS-P6,",1
able,1
government,4
capabilities,1
occurrences.\xe2\x80\xa2Predicted,1
priority,2
goals,1
eight,2
occidentale,1
Western,9
channel,1
estimated,2
algorithm.,1
Government,1
configured,1
dwellers.,1
discharge,1
Haryana.,1
part,6
legislative,1
information.\xe2\x80\xa2The,1
(Lutrogale,1
several,3
please,1
suggested,2
micro,2
enumeration,1
benefits,8
(MODIS),1
preference,1
became,1
(50%),1
opportunity,1
disturbances,2
Koyana,1
1978,3
Ghats,5
"Valley,",1
54\xe2\x80\xb3,1
dry,5
Scattered,1
subcontinent.,1
States;,1
discussions,1
focused,1
favour,1
measures,2
model,14
Jaldapara,1
World,5
distant.,1
expected,2
narrow,3
'Nazimur,1
confined,1
groups,2
used.\xe2\x80\xa2Ecosystem,1
When,1
"particular,",1
Among,1
mineral,2
bioactive,2
new,1
future',1
regarding,1
sympatric,2
small,2
"prioritization,",1
means,1
19.2%,1
monitored,1
growth,3
(latitude/longitude),1
(EDCs),1
MaxEnt,5
LULC,2
Northeast,3
NPVs,2
vulnerability.,1
primitiveness,1
activities,1
outcomes,1
there,1
investigate,1
forest.,1
To,1
"(2006),",1
gauge,1
conflicting,2
maintaining,1
problem,2
(25\xe2\x80\x9330\xc2\xa0km2),1
Rs,3
source,2
deforested,1
implementing,1
contingent,1
25985\xc2\xa0km2,1
good,1
functions,1
corridors,2
sampled,1
"surveys,",1
Tiers,1
higher,3
inconvenience,1
habitat,15
February\xe2\x80\x93March;,1
advance,1
agreement,1
densities,1
(Tinsley),1
campaigns,1
hotspot-I.,2
indicate,1
'Using,1
possibly,1
truths',1
'Highlights\xe2\x80\xa2Classified,1
understanding,4
become,1
Marine,3
areas',1
canopy.,1
An,4
present,7
low,1
countries,5
threatened,2
PCA,1
contribution,1
"growers,",1
Indigenous,1
third,1
tigris,1
locations,2
Program-Operational,2
analyze,1
ont,1
coastal,2
otters,2
\xe2\x88\xbc\xc2\xa010\xc2\xa0pm,1
addition,1
ocean,1
Science,1
les,7
DIVA,1
"Dharmaraj,",1
(FVCOM),1
du,4
comprehensive,2
Krishna-Guntur,1
"elevation,",1
ecologists,1
varying,1
inter-comparison,1
season),1
Chandoli,7
historical,5
'Anthropogenic,1
20,1
case,3
Reserve,1
Sensor,1
represents,2
needed,1
shelf,1
"resources,",1
concludes,2
'Highlights\xe2\x80\xa2LULC,1
extracted,1
baroclinic,2
observations,3
map.',1
occurred,1
taking,1
flora,1
products,6
d\xe2\x80\x99un,1
damages,1
resource,1
civil,1
m\xc3\xa9diatiques.,1
rich,3
literature,2
(TCP),1
reveals,1
sections,1
Permanent,1
"management.""",1
management,12
(derived,1
Geographic,1
worst,1
discuss,2
problems,3
participation,1
Mineral,1
Valley.,1
Its,1
design,2
day,3
two,8
monetary,1
tide,2
proliferation,1
hegemonic,1
"India,",5
extend,1
section,1
lands.\xe2\x80\xa2Modelling,1
subjects,1
classes.\xe2\x80\xa2Human,1
'AnalysisThe,1
trend,1
departments,1
250\xc2\xa0km,1
'Phylogeny,1
ecology,3
organized,1
characterized,1
diverse,4
apologize,1
daily,1
surge,1
each,2
'V.P.',1
ideal,1
"location,",1
collapse,1
urban,4
letters,1
https://www.sciencedirect.com/science/article/pii/S026151771730239X,1
critiqu\xc3\xa9,1
molecular,2
competition.The,1
herbivores,1
intrinsic,2
discusses,1
increasing,3
deforestation,9
past.\xe2\x80\xa2Chronological,1
mealybug,1
second,1
tigris),1
processes,1
whether,1
bioclimatic,1
expressed,1
prone,1
"strong,",1
1,1
suited,2
"stakeholders,",1
busiest,2
https://www.sciencedirect.com/science/article/pii/S2212041616300869,1
'Rajarshi',1
years.\xe2\x80\xa2Small-scale,1
phase,1
development,5
restoration,1
adjacent,1
